,indicator,name,upperdistrict,value,year
0,population,Красносельский,ЦАО,48104.0,2014
0,population,Красносельский,ЦАО,48086.0,2013
0,population,Красносельский,ЦАО,47964.0,2012
0,population,Красносельский,ЦАО,47839.0,2011
0,crimebook,Красносельский,ЦАО,31295.0,2015
0,crimebook,Красносельский,ЦАО,25914.0,2014
0,crimebook,Красносельский,ЦАО,21796.0,2013
0,crimebook,Красносельский,ЦАО,,2012
0,crimebook,Красносельский,ЦАО,,2011
0,crimes,Красносельский,ЦАО,1957.0,2015
0,crimes,Красносельский,ЦАО,1509.0,2014
0,crimes,Красносельский,ЦАО,1087.0,2013
0,crimes,Красносельский,ЦАО,,2012
0,crimes,Красносельский,ЦАО,,2011
0,economiccrimes,Красносельский,ЦАО,,2015
0,economiccrimes,Красносельский,ЦАО,,2014
0,economiccrimes,Красносельский,ЦАО,,2013
0,economiccrimes,Красносельский,ЦАО,,2012
0,economiccrimes,Красносельский,ЦАО,,2011
0,gravecrimes,Красносельский,ЦАО,,2015
0,gravecrimes,Красносельский,ЦАО,530.0,2014
0,gravecrimes,Красносельский,ЦАО,391.0,2013
0,gravecrimes,Красносельский,ЦАО,468.0,2012
0,gravecrimes,Красносельский,ЦАО,,2011
0,murders,Красносельский,ЦАО,1.0,2015
0,murders,Красносельский,ЦАО,7.0,2014
0,murders,Красносельский,ЦАО,,2013
0,murders,Красносельский,ЦАО,,2012
0,murders,Красносельский,ЦАО,,2011
0,healthdamage,Красносельский,ЦАО,,2015
0,healthdamage,Красносельский,ЦАО,,2014
0,healthdamage,Красносельский,ЦАО,,2013
0,healthdamage,Красносельский,ЦАО,,2012
0,healthdamage,Красносельский,ЦАО,,2011
0,robbing,Красносельский,ЦАО,149.0,2015
0,robbing,Красносельский,ЦАО,106.0,2014
0,robbing,Красносельский,ЦАО,100.0,2013
0,robbing,Красносельский,ЦАО,,2012
0,robbing,Красносельский,ЦАО,,2011
0,banditry,Красносельский,ЦАО,34.0,2015
0,banditry,Красносельский,ЦАО,26.0,2014
0,banditry,Красносельский,ЦАО,34.0,2013
0,banditry,Красносельский,ЦАО,,2012
0,banditry,Красносельский,ЦАО,,2011
0,thefts,Красносельский,ЦАО,939.0,2015
0,thefts,Красносельский,ЦАО,716.0,2014
0,thefts,Красносельский,ЦАО,491.0,2013
0,thefts,Красносельский,ЦАО,,2012
0,thefts,Красносельский,ЦАО,,2011
0,burglary,Красносельский,ЦАО,5.0,2015
0,burglary,Красносельский,ЦАО,15.0,2014
0,burglary,Красносельский,ЦАО,14.0,2013
0,burglary,Красносельский,ЦАО,20.0,2012
0,burglary,Красносельский,ЦАО,,2011
0,carthefts,Красносельский,ЦАО,15.0,2015
0,carthefts,Красносельский,ЦАО,23.0,2014
